"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"1","flowering.period.CWM",6.86658746549892e-207,1,1.35503394382524e-193,1,2.47197148757961e-205,4.87812219777086e-192
"2","maxheight.CWM",0.00358206521245376,0.49171,0.00258367129235015,0.58888,0.0429847825494451,0.0465060832623028
"3","SLA.CWM",0.0309886457029654,0.31032,0.0284886975995749,0.39886,0.139448905663344,0.13312766144281
"4","nbsp",0.0439047037700793,0.2769,0.0526410870562308,0.28118,0.175618815080317,0.210564348224923
"5","RaoQ",0.0234433396832148,0.33631,0.0295839247650688,0.3376,0.12094986052269,0.13312766144281
"6","FEve",0.0202883398024295,0.34949,0.0259468719760535,0.34986,0.12094986052269,0.13312766144281
"7","FRic",0.00335318673606716,0.49655,0.00448266887816752,0.51014,0.0429847825494451,0.0537920265380102
"8","FDis",0.0199358979557292,0.35107,0.0246984710812433,0.36048,0.12094986052269,0.13312766144281
"9","CVAnnHSPeak",0.0235180284349675,0.33602,0.0160954958918288,0.48505,0.12094986052269,0.13312766144281
"10","plotID",0.0493985787591521,0.26536,0.059107417656149,0.26743,0.177834883532948,0.212786703562137
